S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,0-4,5–9,10–14,15–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total Persons
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021007,Braidwood,244,252,228,197,137,148,184,221,213,316,318,381,404,333,288,194,89,75,4222
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021008,Karabar,542,559,535,479,541,585,576,564,522,615,570,544,508,410,332,249,136,105,8372
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021009,Queanbeyan,843,589,453,390,651,1127,1361,910,732,773,718,695,524,509,373,273,247,283,11451
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021010,Queanbeyan - East,373,281,229,184,367,501,526,392,328,332,366,335,314,223,170,115,70,44,5150
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021011,Queanbeyan Region,1415,1468,1618,1289,934,1141,1205,1372,1504,1606,1527,1477,1178,1023,736,407,193,148,20241
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10102,Queanbeyan,101021012,Queanbeyan West - Jerrabomberra,845,989,1086,1057,794,691,777,873,942,1219,1176,963,577,431,318,191,113,94,13136
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031013,Bombala,128,145,152,102,97,129,142,117,124,141,168,173,200,182,188,95,65,75,2423
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031014,Cooma,391,384,407,353,381,365,461,372,371,476,480,466,434,380,378,303,218,234,6854
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031015,Cooma Region,155,162,232,204,112,126,122,149,185,242,276,289,283,292,220,176,91,66,3382
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10103,Snowy Mountains,101031016,Jindabyne - Berridale,278,425,546,440,433,597,495,426,515,599,503,528,468,368,265,167,90,72,7215
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041017,Batemans Bay,398,483,458,420,322,337,326,385,393,443,422,545,677,700,662,480,264,310,8025
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041018,Batemans Bay - South,390,386,465,438,325,284,328,334,405,476,492,683,703,844,795,566,331,283,8528
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041019,Bega - Tathra,497,575,623,517,405,375,375,424,471,532,579,733,690,551,478,360,267,245,8697
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041020,Bega-Eden Hinterland,370,493,596,570,277,254,298,354,389,626,697,966,959,858,566,341,140,140,8894
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041021,Broulee - Tomakin,124,204,217,231,133,115,100,138,186,215,201,293,313,295,259,218,147,140,3529
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041022,Deua - Wadbilliga,0,0,0,0,0,0,1,0,2,0,3,3,4,4,3,2,0,3,25
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041023,Eden,185,175,147,180,108,136,148,166,158,158,210,239,292,289,274,157,116,98,3236
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041024,Eurobodalla Hinterland,129,127,192,204,168,114,125,148,167,223,274,371,311,338,257,142,66,50,3406
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041025,Merimbula - Tura Beach,452,568,614,555,428,466,467,500,491,642,721,852,1047,984,993,647,468,415,11310
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041026,Moruya - Tuross Head,319,402,421,411,290,257,262,320,371,536,535,734,881,771,720,469,289,255,8243
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10104,South Coast,101041027,Narooma - Bermagui,388,412,469,394,218,266,306,354,340,486,477,807,1014,1063,907,553,342,409,9205
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051539,Goulburn,1498,1508,1454,1321,1490,1724,1690,1473,1360,1592,1381,1567,1400,1329,1126,877,603,677,24070
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10105,Goulburn - Mulwaree,101051540,Goulburn Region,626,760,915,762,571,571,564,619,725,959,954,1124,1072,997,823,604,349,265,13260
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061541,Yass,450,476,453,369,359,394,386,429,369,441,433,459,406,329,355,225,162,197,6692
1,New South Wales,1RNSW,Rest of NSW,101,Capital Region,10106,Young - Yass,101061542,Yass Region,671,910,1022,870,520,460,484,631,902,1113,932,859,843,745,575,381,196,167,12281
